
0  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
1  arriveTime  20.248456731316587  leaveTime  0  state  RobotState.onRoad  taskID  6
2  arriveTime  43.68065933568311  leaveTime  0  state  RobotState.onRoad  taskID  1
3  arriveTime  82.13403679352427  leaveTime  0  state  RobotState.onRoad  taskID  5
4  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
5  arriveTime  75.8023746329889  leaveTime  0  state  RobotState.onRoad  taskID  3
6  arriveTime  82.13403679352427  leaveTime  0  state  RobotState.onRoad  taskID  5
7  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4

1 time = 20.248456731316587 type = CalType.arriveCond

0  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
1  arriveTime  20.248456731316587  leaveTime  1.7976931348623157e+308  state  RobotState.onTask  taskID  6
2  arriveTime  43.68065933568311  leaveTime  0  state  RobotState.onRoad  taskID  1
3  arriveTime  82.13403679352427  leaveTime  0  state  RobotState.onRoad  taskID  5
4  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
5  arriveTime  75.8023746329889  leaveTime  0  state  RobotState.onRoad  taskID  3
6  arriveTime  82.13403679352427  leaveTime  0  state  RobotState.onRoad  taskID  5
7  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4

2 time = 43.68065933568311 type = CalType.arriveCond

0  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
1  arriveTime  20.248456731316587  leaveTime  1.7976931348623157e+308  state  RobotState.onTask  taskID  6
2  arriveTime  43.68065933568311  leaveTime  1.7976931348623157e+308  state  RobotState.onTask  taskID  1
3  arriveTime  82.13403679352427  leaveTime  0  state  RobotState.onRoad  taskID  5
4  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
5  arriveTime  75.8023746329889  leaveTime  0  state  RobotState.onRoad  taskID  3
6  arriveTime  82.13403679352427  leaveTime  0  state  RobotState.onRoad  taskID  5
7  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4

5 time = 75.8023746329889 type = CalType.arriveCond

0  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
1  arriveTime  20.248456731316587  leaveTime  1.7976931348623157e+308  state  RobotState.onTask  taskID  6
2  arriveTime  43.68065933568311  leaveTime  1.7976931348623157e+308  state  RobotState.onTask  taskID  1
3  arriveTime  82.13403679352427  leaveTime  0  state  RobotState.onRoad  taskID  5
4  arriveTime  89.82204629154248  leaveTime  0  state  RobotState.onRoad  taskID  4
